Title                                                           02.03.2017 14:24
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  DSC700926_pBTTTketo_10%a, 02.03.2017 13:47:16
  Performed 02.03.2017 13:47:15
Curve Values:
          Index       Abscissa             Ts             Tr          Value
                          [°C]           [°C]           [°C]           [mW]
              0              0          0.000         50.000       -1.12717
              1              1          0.000         50.333       -1.30058
              2              2          0.000         50.667       -1.94401
              3              3          0.000         51.000       -3.00178
              4              4          0.000         51.333       -6.30215
              5              5          0.000         51.667       -9.73521
              6              6          0.000         52.000       -12.9918
              7              7          0.000         52.333       -16.0397
              8              8          0.000         52.667       -17.6691
              9              9          0.000         53.000        -18.902
             10             10          0.000         53.333       -19.7394
             11             11          0.000         53.667       -20.3658
             12             12          0.000         54.000       -20.6201
             13             13          0.000         54.333       -20.8121
             14             14          0.000         54.667       -20.9535
             15             15          0.000         55.000       -21.0705
             16             16          0.000         55.333       -21.1401
             17             17          0.000         55.667       -21.2048
             18             18          0.000         56.000       -21.2632
             19             19          0.000         56.333       -21.3197
             20             20          0.000         56.667       -21.3631
             21             21          0.000         57.000       -21.4057
             22             22          0.000         57.333       -21.4466
             23             23          0.000         57.667       -21.4847
             24             24          0.000         58.000       -21.5192
             25             25          0.000         58.333       -21.5524
             26             26          0.000         58.667       -21.5856
             27             27          0.000         59.000       -21.6167
             28             28          0.000         59.333       -21.6444
             29             29          0.000         59.667       -21.6723
             30             30          0.000         60.000       -21.6999
             31             31          0.000         60.333       -21.7261
             32             32          0.000         60.667       -21.7499
             33             33          0.000         61.000       -21.7741
             34             34          0.000         61.333       -21.7988
             35             35          0.000         61.667       -21.8239
             36             36          0.000         62.000       -21.8489
             37             37          0.000         62.333       -21.8744
             38             38          0.000         62.667       -21.8997
             39             39          0.000         63.000       -21.9237
             40             40          0.000         63.333       -21.9457
             41             41          0.000         63.667       -21.9685
             42             42          0.000         64.000       -21.9912
             43             43          0.000         64.333       -22.0131
             44             44          0.000         64.667       -22.0327
             45             45          0.000         65.000       -22.0531
             46             46          0.000         65.333       -22.0735
             47             47          0.000         65.667       -22.0934
             48             48          0.000         66.000       -22.1114
             49             49          0.000         66.333       -22.1299
             50             50          0.000         66.667       -22.1482
             51             51          0.000         67.000       -22.1665
             52             52          0.000         67.333       -22.1847
             53             53          0.000         67.667        -22.202
             54             54          0.000         68.000       -22.2192
             55             55          0.000         68.333       -22.2363
             56             56          0.000         68.667       -22.2532
             57             57          0.000         69.000       -22.2696
             58             58          0.000         69.333       -22.2861
             59             59          0.000         69.667       -22.3025
             60             60          0.000         70.000        -22.319
             61             61          0.000         70.333       -22.3348
             62             62          0.000         70.667       -22.3502
             63             63          0.000         71.000       -22.3652
             64             64          0.000         71.333       -22.3806
             65             65          0.000         71.667       -22.3949
             66             66          0.000         72.000       -22.4093
             67             67          0.000         72.333       -22.4235
             68             68          0.000         72.667       -22.4377
             69             69          0.000         73.000       -22.4513
             70             70          0.000         73.333        -22.465
             71             71          0.000         73.667       -22.4787
             72             72          0.000         74.000       -22.4924
             73             73          0.000         74.333       -22.5052
             74             74          0.000         74.667        -22.518
             75             75          0.000         75.000       -22.5302
             76             76          0.000         75.333       -22.5424
             77             77          0.000         75.667       -22.5542
             78             78          0.000         76.000       -22.5661
             79             79          0.000         76.333        -22.578
             80             80          0.000         76.667       -22.5899
             81             81          0.000         77.000       -22.6009
