,Tr [°C],DSC700929_pBTTTketo_20%a
30,60.0,8.881784197001252e-16
31,60.333,0.00011462392310068736
32,60.667,-0.001306530228491809
33,61.0,-0.002326465417671564
34,61.333,-0.0033266814523456034
35,61.667,-0.004391686773987047
36,62.0,-0.005029970266627437
37,62.333,-0.005925308636415494
38,62.667,-0.006164328233306371
39,63.0,-0.005971242406746846
40,63.333,-0.005381985488991603
41,63.667,-0.005045182466331788
42,64.0,-0.004251009697913588
43,64.333,-0.0030874398699545225
44,64.667,-0.0014649773329438176
45,65.0,-7.993605777301127e-15
46,65.333,0.001627634787484844
47,65.667,0.0031558359628016674
48,66.0,0.004741991141329116
49,66.333,0.006114615616454877
50,66.667,0.007980018453456417
51,67.0,0.01057889743742102
52,67.333,0.013788091986687512
53,67.667,0.016162401737916277
54,68.0,0.017115584913826254
55,68.333,0.01763292992374943
56,68.667,0.017797851841740986
57,69.0,0.01808691959611064
58,69.333,0.018353995453201044
59,69.667,0.018611234790494535
60,70.0,0.01879776750983453
61,70.333,0.018886154600605387
62,70.667,0.018877416609735853
63,71.0,0.018712994680560868
64,71.333,0.01871427339152376
65,71.667,0.01855126332503243
66,72.0,0.018247467133853057
67,72.333,0.01786321785152012
68,72.667,0.017537640961942103
69,73.0,0.01707605089527231
70,73.333,0.016607854006155165
71,73.667,0.016141415546030657
72,74.0,0.015873611990380176
73,74.333,0.01555304788099221
74,74.667,0.015257453102857532
75,75.0,0.014905016444739516
76,75.333,0.014743665501592673
77,75.667,0.014350619657986563
78,76.0,0.013775130283912418
79,76.333,0.013134572893520158
80,76.667,0.012285781236979432
81,77.0,0.011278819533464102
82,77.333,0.010300636082337
83,77.667,0.00926780386540127
84,78.0,0.00821095021895335
85,78.333,0.0012567210936049733
86,78.667,-0.008418446431190496
87,79.0,-0.009663611634056046
88,79.333,-0.005472306047114017
89,79.667,-0.002188103627230653
90,80.0,-8.881784197001252e-16
91,80.333,0.0019676436659414875
92,80.667,0.002577454101655441
93,81.0,0.003255608547350519
94,81.333,0.00393392596348896
95,81.667,0.004464347479903097
96,82.0,0.004302867036921398
97,82.333,0.004261395476309104
98,82.667,0.004121963956908559
99,83.0,0.003830385898302424
100,83.333,0.0028686626339942123
101,83.667,0.0021689139622615983
102,84.0,0.00104677556108701
103,84.333,-0.00040566213386128425
104,84.667,-0.002026192074440658
105,85.0,-0.003429353545128855
106,85.333,-0.0048329683976673365
107,85.667,-0.006164743723608979
108,86.0,-0.007429390990758122
109,86.333,-0.008734645727829005
110,86.667,-0.010068130555650256
111,87.0,-0.011464726346205545
112,87.333,-0.012962083694754156
113,87.667,-0.014557742140971719
114,88.0,-0.01630674918187669
115,88.333,-0.01809667186885111
116,88.667,-0.01989496804997959
117,89.0,-0.021986849068182934
118,89.333,-0.023859799820526995
119,89.667,-0.02562119785308159
120,90.0,-0.027326415575527285
121,90.333,-0.028742857120187537
122,90.667,-0.030207821120685985
123,91.0,-0.0316668382743206
124,91.333,-0.033127233338241524
125,91.667,-0.03434622742319959
126,92.0,-0.03564950673496892
127,92.333,-0.03684431804509636
128,92.667,-0.03795780633103085
129,93.0,-0.039005810527877216
130,93.333,-0.03997550081115797
131,93.667,-0.04089394741458374
132,94.0,-0.0418471392234574
133,94.333,-0.04274217120683588
134,94.667,-0.043696040244268985
135,95.0,-0.04463488239211344
136,95.333,-0.04554571880253544
137,95.667,-0.046505474390493795
138,96.0,-0.04744042960425432
139,96.333,-0.04842753316866588
140,96.667,-0.04942363942366246
141,97.0,-0.05057517043028614
142,97.333,-0.05184900387563207
143,97.667,-0.0531719249141851
144,98.0,-0.05460049444061443
145,98.333,-0.056361520493843464
146,98.667,-0.05784172043246727
147,99.0,-0.059357791205650656
148,99.333,-0.06090647259370563
149,99.667,-0.062424415548918866
150,100.0,-0.06391845029580256
151,100.333,-0.06527524974562837
152,100.667,-0.06641139983394417
153,101.0,-0.06819386128147364
154,101.333,-0.06931924152001745
155,101.667,-0.0693540628579532
156,102.0,-0.06933541373307328
157,102.333,-0.06695983748728018
158,102.667,-0.06302379419135384
159,103.0,-0.0625444972210083
160,103.333,-0.06307842721782375
161,103.667,-0.06355198340454837
162,104.0,-0.06358250131568521
163,104.333,-0.06359640028205682
164,104.667,-0.06335002006794888
165,105.0,-0.06204081558751362
166,105.333,-0.06099514625038349
167,105.667,-0.05987929375196188
168,106.0,-0.058720829606896174
169,106.333,-0.05710605469321539
170,106.667,-0.055651194026991924
171,107.0,-0.0542039329442483
172,107.333,-0.052670515180957445
173,107.667,-0.050937110463450175
174,108.0,-0.04924151516997188
175,108.333,-0.04742991728401691
176,108.667,-0.045478432631742116
177,109.0,-0.0432149658544736
178,109.333,-0.04087565057280251
179,109.667,-0.038416550102275515
180,110.0,-0.03606567456816112
181,110.333,-0.03270910461771859
182,110.667,-0.029232852445457702
183,111.0,-0.025495030881445224
184,111.333,-0.02175166898917702
185,111.667,-0.017808729231695075
186,112.0,-0.013334424364729536
187,112.333,-0.008944733257580495
188,112.667,-0.004385570031397279
189,113.0,0.000264755411576445
190,113.333,0.005420313006661459
191,113.667,0.01051523558503309
192,114.0,0.015731118877067907
193,114.333,0.021462080233140668
194,114.667,0.027472298047181987
195,115.0,0.033353276461336456
196,115.333,0.03913917885145146
197,115.667,0.04485422778464798
198,116.0,0.05096983859397142
199,116.333,0.05707021929118383
200,116.667,0.06210963522702073
201,117.0,0.06617941570456676
202,117.333,0.06933381198193267
203,117.667,0.07205713080389398
204,118.0,0.07361061822272053
205,118.333,0.07534856735329143
206,118.667,0.07602532494485903
207,119.0,0.07703205657802048
208,119.333,0.07796309583485161
209,119.667,0.07853282807951079
210,120.0,0.07818234120005751
211,120.333,0.07792600785620518
212,120.667,0.07765825063743836
213,121.0,0.07722008251843082
214,121.333,0.07634591384694644
215,121.667,0.07560020304824011
216,122.0,0.07478389096272853
217,122.333,0.07387142423666937
218,122.667,0.07267729574150206
219,123.0,0.07152237696254105
220,123.333,0.07030114945496013
221,123.667,0.06905813914682302
222,124.0,0.06760415094746541
223,124.333,0.06630369993141638
224,124.667,0.06507134369379042
225,125.0,0.06378782334709321
226,125.333,0.06264768609563198
227,125.667,0.06143551981199913
228,126.0,0.060192004591017145
229,126.333,0.058991718377196634
230,126.667,0.057849277931041776
231,127.0,0.05655530510883011
232,127.333,0.055264407205704025
233,127.667,0.054081228480513666
234,128.0,0.05270633533012248
235,128.333,0.05147436301074659
236,128.667,0.05039998189000272
237,129.0,0.0493537056844886
238,129.333,0.048440196221918086
239,129.667,0.04755414858910445
240,130.0,0.046756026601522116
241,130.333,0.04606051726880889
242,130.667,0.045422339007409995
243,131.0,0.04468190851081477
244,131.333,0.043993936581014914
245,131.667,0.04329316357451418
246,132.0,0.04236996184195707
247,132.333,0.04146906458812616
248,132.667,0.0406352327200068
249,133.0,0.03976879702454639
250,133.333,0.038744511719735364
251,133.667,0.03789715687348405
252,134.0,0.03703702448817037
253,134.333,0.036198888405437835
254,134.667,0.03536754646453666
255,135.0,0.03468325466242739
256,135.333,0.033880805074823606
257,135.667,0.03304501192275566
258,136.0,0.03213609797690342
259,136.333,0.031028872157484955
260,136.667,0.0299881636777366
261,137.0,0.028904164861196513
262,137.333,0.02775170008301675
263,137.667,0.026405612159070557
264,138.0,0.025186065744896347
265,138.333,0.024057899281010542
266,138.667,0.02294596779634972
267,139.0,0.021930411057597965
268,139.333,0.020886080181059086
269,139.667,0.01986784101916772
270,140.0,0.018865811228891083
271,140.333,0.017854853212755373
272,140.667,0.016719842257118422
273,141.0,0.01560087668836907
274,141.333,0.014482828805691739
275,141.667,0.013280581939793201
276,142.0,0.012094217865628032
277,142.333,0.010848617389458859
278,142.667,0.009598670496781203
279,143.0,0.008344445190257233
280,143.333,0.006940829393652592
281,143.667,0.005472718357682815
282,144.0,0.004030169091849167
283,144.333,0.0026580752478650993
284,144.667,0.0013313359520843449
285,145.0,-3.552713678800501e-15
286,145.333,-0.0013536744730870964
287,145.667,-0.0022380804014359157
288,146.0,-0.003408941991250636
289,146.333,-0.0034872212862708807
290,146.667,-0.0007744503398923186
291,147.0,0.000984501869973009
292,147.333,0.002238317335654827
293,147.667,0.0017245344078098412
294,148.0,-6.217248937900877e-15
295,148.333,-0.002814283935734352
296,148.667,-0.006056495594662259
297,149.0,-0.0094986581821912
298,149.333,-0.013075427028679698
299,149.667,-0.017073075570364082
300,150.0,-0.021101199246879254
301,150.333,-0.025225679658143818
302,150.667,-0.029453917342166847
303,151.0,-0.03403322876169046
304,151.333,-0.03874064739174532
305,151.667,-0.043654626477697356
306,152.0,-0.048630352294241064
307,152.333,-0.054695935797107076
308,152.667,-0.06056080854456791
309,153.0,-0.0665981754121523
